"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab356aa2e000095000694","Dampierre-le-Château","30/07/2001","19/01/2002","Marne","1","831470","6881060","Liévaux","#Néolithique#Protohistoire","Champagne-Ardenne","#Habitats, architecture, édifices","fouille"
"608ab356aa2e000095000695","Thaon","20/01/2002","24/01/2002","Calvados","2","448620","6911591","Éléazar","#Protohistoire","Basse-Normandie",,"fouille"
"608ab356aa2e000095000696","Ornans","09/01/2002","25/01/2002","Doubs","3","938295","6671971","La Fontaine au Malade","#Moyen Âge","Franche-Comté",,"fouille"
"608ab356aa2e000095000698","Saint-Dizier","17/12/2001","22/02/2002","Haute-Marne","4","844916,38","6838098,42","Les Crassées","#Moyen Âge","Champagne-Ardenne","#Arts, biens de prestige#Cultes et pratiques funéraires#Organisation sociale et politique","fouille"
"608ab356aa2e000095000699","Tours","01/09/1999","28/02/2002","Indre-et-Loire","5","525664","6701622","Lycée Descartes","#Antiquité#Moyen Âge","Centre","#Cultes et pratiques funéraires#Habitats, architecture, édifices#Organisation sociale et politique","fouille"
"608ab356aa2e00009500069a","Besançon","01/06/2001","28/02/2002","Doubs","6","927843","6686329","Parking des Remparts dérasés","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Franche-Comté","#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace","fouille"
"608ab356aa2e00009500069b","Magny-le-Hongre","03/12/2001","28/02/2002","Seine-et-Marne","7","686536","6863407","Courtalin","#Protohistoire#Antiquité#Moyen Âge","Ile-de-France",,"fouille"
"608ab356aa2e00009500069c","Messy","01/12/2001","01/03/2002","Seine-et-Marne","8","679684","6874182","La Mare au Roi","#Protohistoire#Antiquité","Ile-de-France","#Habitats, architecture, édifices","fouille"
"608ab356aa2e00009500069d","Claye-Souilly","01/12/2001","21/03/2002","Seine-et-Marne","9","679304","6872103","Les Monts Gardés 3","#Protohistoire#Antiquité","Ile-de-France","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab356aa2e00009500069e","Saint-Laurent-Blangy","01/04/2001","01/04/2002","Pas-de-Calais","10","688152,561","7024497,07","ZAC Actiparc","#Protohistoire#Antiquité","Nord-Pas-de-Calais",,"fouille"
"608ab356aa2e00009500069f","Tours","01/11/2001","30/04/2002","Indre-et-Loire","11","525467","6701604","Hôtel de police Nord","#Antiquité#Moyen Âge","Centre","#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006a0","Saint-Romain-sur-Cher","15/11/2001","30/04/2002","Loir-et-Cher","12","575110","6690727","Les Cormins","#Néolithique#Protohistoire#Antiquité#Moyen Âge","Centre",,"fouille"
